Step,Reward,F1
20646,109.2,0.1615
20652,109.2,0.1615
20658,109.2,0.1615
20664,109.2,0.1615
20670,109.2,0.1615
20676,109.2,0.1615
20682,109.2,0.1615
20688,109.2,0.1615
20694,109.2,0.1615
20700,109.2,0.1615
20706,109.2,0.1615
20712,109.2,0.1615
20718,109.2,0.1615
20724,109.2,0.1615
20730,109.2,0.1615
20736,109.2,0.1615
20742,109.2,0.1615
20748,109.2,0.1615
20754,109.2,0.1615
20760,109.2,0.1615
20766,109.2,0.1615
20772,109.2,0.1615
20778,109.2,0.1615
20784,109.2,0.1615
20790,109.2,0.1615
20796,109.2,0.1615
20802,109.2,0.1615
20808,109.2,0.1615
20814,109.2,0.1615
20820,109.2,0.1615
20826,109.2,0.1615
20832,109.2,0.1615
20838,109.2,0.1615
20844,109.2,0.1615
20850,109.2,0.1615
20856,109.2,0.1615
20862,109.2,0.1615
20868,109.2,0.1615
20874,109.2,0.1615
20880,109.2,0.1615
20886,109.2,0.1615
20892,109.2,0.1615
20898,109.2,0.1615
20904,109.2,0.1615
20910,109.2,0.1615
20916,109.2,0.1615
20922,109.2,0.1615
20928,109.2,0.1615
20934,109.2,0.1615
20940,109.2,0.1615
20946,109.2,0.1615
20952,109.2,0.1615
20958,109.2,0.1615
20964,109.2,0.1615
20970,109.2,0.1615
20976,109.2,0.1615
20982,109.2,0.1615
20988,109.2,0.1615
20994,109.2,0.1615
29994,113.6,0.1731
30000,113.6,0.1731
30004,113.6,0.1731
30010,113.6,0.1731
30016,113.6,0.1731
30022,113.6,0.1731
30028,113.6,0.1731
30033,113.6,0.1731
30038,113.6,0.1731
30044,113.6,0.1731
30050,113.6,0.1731
30056,113.6,0.1731
30062,113.6,0.1731
30068,113.6,0.1731
30073,113.6,0.1731
30078,113.6,0.1731
30084,113.6,0.1731
30089,113.6,0.1731
30095,113.6,0.1731
30101,113.6,0.1731
30107,113.6,0.1731
30113,113.6,0.1731
30119,113.6,0.1731
30125,113.6,0.1731
30130,113.6,0.1731
30136,113.6,0.1731
30141,113.6,0.1731
30146,113.6,0.1731
30152,113.6,0.1731
30158,113.6,0.1731
30163,113.6,0.1731
30169,113.6,0.1731
30175,113.6,0.1731
30181,113.6,0.1731
30187,113.6,0.1731
30193,113.6,0.1731
30199,113.6,0.1731
30205,113.6,0.1731
30211,113.6,0.1731
30217,113.6,0.1731
30223,113.6,0.1731
30229,113.6,0.1731
30235,113.6,0.1731
30242,113.6,0.1731
30248,113.6,0.1731
30254,113.6,0.1731
30260,113.6,0.1731
30266,113.6,0.1731
30272,113.6,0.1731
30278,113.6,0.1731
30284,113.6,0.1731
30290,113.6,0.1731
30295,113.6,0.1731
30300,113.6,0.1731
30306,113.6,0.1731
30312,113.6,0.1731
30318,113.6,0.1731
30324,113.6,0.1731
30330,113.6,0.1731
30336,113.6,0.1731
30342,113.6,0.1731
30348,113.6,0.1731
30354,113.6,0.1731
30360,113.6,0.1731
30366,113.6,0.1731
30372,113.6,0.1731
30378,113.6,0.1731
30384,113.6,0.1731
30390,113.6,0.1731
30396,113.6,0.1731
30402,113.6,0.1731
30408,113.6,0.1731
30414,113.6,0.1731
30420,113.6,0.1731
30426,113.6,0.1731
30432,113.6,0.1731
30438,113.6,0.1731
30444,113.6,0.1731
30450,113.6,0.1731
30456,113.6,0.1731
30462,113.6,0.1731
30468,113.6,0.1731
30474,113.6,0.1731
30480,113.6,0.1731
30486,113.6,0.1731
30492,113.6,0.1731
30498,113.6,0.1731
30504,113.6,0.1731
30511,113.6,0.1731
30517,113.6,0.1731
30523,113.6,0.1731
30529,113.6,0.1731
30535,113.6,0.1731
30541,113.6,0.1731
30547,113.6,0.1731
30553,113.6,0.1731
30559,113.6,0.1731
30565,113.6,0.1731
30571,113.6,0.1731
30577,113.6,0.1731
30583,113.6,0.1731
30589,113.6,0.1731
30595,113.6,0.1731
30601,113.6,0.1731
30607,113.6,0.1731
30613,113.6,0.1731
30619,113.6,0.1731
30625,113.6,0.1731
30631,113.6,0.1731
30637,113.6,0.1731
30643,113.6,0.1731
30649,113.6,0.1731
30655,113.6,0.1731
30660,113.6,0.1731
30666,113.6,0.1731
30672,113.6,0.1731
30678,113.6,0.1731
30684,113.6,0.1731
30690,113.6,0.1731
30696,113.6,0.1731
30702,113.6,0.1731
30708,113.6,0.1731
30714,113.6,0.1731
30720,113.6,0.1731
30726,113.6,0.1731
30732,113.6,0.1731
30737,113.6,0.1731
30743,113.6,0.1731
30749,113.6,0.1731
30755,113.6,0.1731
30760,113.6,0.1731
30766,113.6,0.1731
30772,113.6,0.1731
30778,113.6,0.1731
30784,113.6,0.1731
30790,113.6,0.1731
30796,113.6,0.1731
30802,113.6,0.1731
30808,113.6,0.1731
30814,113.6,0.1731
30820,113.6,0.1731
30826,113.6,0.1731
30832,113.6,0.1731
30838,113.6,0.1731
30844,113.6,0.1731
30850,113.6,0.1731
30856,113.6,0.1731
30862,113.6,0.1731
30868,113.6,0.1731
30874,113.6,0.1731
30880,113.6,0.1731
30886,113.6,0.1731
30892,113.6,0.1731
30898,113.6,0.1731
30904,113.6,0.1731
30910,113.6,0.1731
30916,113.6,0.1731
30922,113.6,0.1731
30928,113.6,0.1731
30934,113.6,0.1731
30940,113.6,0.1731
30946,113.6,0.1731
30952,113.6,0.1731
30958,113.6,0.1731
30964,113.6,0.1731
30970,113.6,0.1731
30976,113.6,0.1731
30982,113.6,0.1731
30988,113.6,0.1731
30994,113.6,0.1731
39996,121.7,0.217
40001,121.7,0.217
40007,121.7,0.217
40013,121.7,0.217
40019,121.7,0.217
40025,121.7,0.217
40030,121.7,0.217
40035,121.7,0.217
40040,121.7,0.217
40046,121.7,0.217
40052,121.7,0.217
40058,121.7,0.217
40064,121.7,0.217
40070,121.7,0.217
40076,121.7,0.217
40082,121.7,0.217
40088,121.7,0.217
40094,121.7,0.217
40100,121.7,0.217
40106,121.7,0.217
40112,121.7,0.217
40118,121.7,0.217
40124,121.7,0.217
40130,121.7,0.217
40136,121.7,0.217
40142,121.7,0.217
40148,121.7,0.217
40154,121.7,0.217
40160,121.7,0.217
40166,121.7,0.217
40172,121.7,0.217
40178,121.7,0.217
40185,121.7,0.217
40191,121.7,0.217
40197,121.7,0.217
40204,121.7,0.217
40210,121.7,0.217
40217,121.7,0.217
40224,121.7,0.217
40230,121.7,0.217
40236,121.7,0.217
40242,121.7,0.217
40248,121.7,0.217
40255,121.7,0.217
40262,121.7,0.217
40268,121.7,0.217
40274,121.7,0.217
40280,121.7,0.217
40286,121.7,0.217
40292,121.7,0.217
40298,121.7,0.217
40304,121.7,0.217
40310,121.7,0.217
40316,121.7,0.217
40322,121.7,0.217
40328,121.7,0.217
40334,121.7,0.217
40340,121.7,0.217
40346,121.7,0.217
40352,121.7,0.217
40358,121.7,0.217
40364,121.7,0.217
40370,121.7,0.217
40376,121.7,0.217
40382,121.7,0.217
40388,121.7,0.217
40394,121.7,0.217
40400,121.7,0.217
40406,121.7,0.217
40412,121.7,0.217
40418,121.7,0.217
40424,121.7,0.217
40430,121.7,0.217
40436,121.7,0.217
40442,121.7,0.217
40448,121.7,0.217
40454,121.7,0.217
40460,121.7,0.217
40466,121.7,0.217
40472,121.7,0.217
40478,121.7,0.217
40484,121.7,0.217
40490,121.7,0.217
40496,121.7,0.217
40502,121.7,0.217
40508,121.7,0.217
40514,121.7,0.217
40520,121.7,0.217
40526,121.7,0.217
40532,121.7,0.217
40538,121.7,0.217
40544,121.7,0.217
40550,121.7,0.217
40556,121.7,0.217
40562,121.7,0.217
40568,121.7,0.217
40574,121.7,0.217
40580,121.7,0.217
40586,121.7,0.217
40592,121.7,0.217
40598,121.7,0.217
40604,121.7,0.217
40610,121.7,0.217
40616,121.7,0.217
40622,121.7,0.217
40628,121.7,0.217
40634,121.7,0.217
40640,121.7,0.217
40646,121.7,0.217
40652,121.7,0.217
40658,121.7,0.217
40664,121.7,0.217
40670,121.7,0.217
40676,121.7,0.217
40682,121.7,0.217
40688,121.7,0.217
40694,121.7,0.217
40700,121.7,0.217
40706,121.7,0.217
40712,121.7,0.217
40718,121.7,0.217
40724,121.7,0.217
40730,121.7,0.217
40736,121.7,0.217
40742,121.7,0.217
40748,121.7,0.217
40754,121.7,0.217
40760,121.7,0.217
40766,121.7,0.217
40772,121.7,0.217
40778,121.7,0.217
40784,121.7,0.217
40790,121.7,0.217
40796,121.7,0.217
40802,121.7,0.217
40808,121.7,0.217
40814,121.7,0.217
40820,121.7,0.217
40826,121.7,0.217
40832,121.7,0.217
40838,121.7,0.217
40844,121.7,0.217
40850,121.7,0.217
40856,121.7,0.217
40862,121.7,0.217
40868,121.7,0.217
40874,121.7,0.217
40880,121.7,0.217
40886,121.7,0.217
40892,121.7,0.217
40898,121.7,0.217
40904,121.7,0.217
40910,121.7,0.217
40916,121.7,0.217
40922,121.7,0.217
40928,121.7,0.217
40934,121.7,0.217
40940,121.7,0.217
40946,121.7,0.217
40952,121.7,0.217
40958,121.7,0.217
40964,121.7,0.217
40970,121.7,0.217
40976,121.7,0.217
40982,121.7,0.217
40988,121.7,0.217
40994,121.7,0.217
49996,110.3,0.1731
50001,110.3,0.1731
50007,110.3,0.1731
50013,110.3,0.1731
50019,110.3,0.1731
50024,110.3,0.1731
50031,110.3,0.1731
50038,110.3,0.1731
50044,110.3,0.1731
50050,110.3,0.1731
50056,110.3,0.1731
50062,110.3,0.1731
50068,110.3,0.1731
50074,110.3,0.1731
50080,110.3,0.1731
50086,110.3,0.1731
50092,110.3,0.1731
50098,110.3,0.1731
50104,110.3,0.1731
50110,110.3,0.1731
50116,110.3,0.1731
50122,110.3,0.1731
50128,110.3,0.1731
50134,110.3,0.1731
50140,110.3,0.1731
50146,110.3,0.1731
50152,110.3,0.1731
50158,110.3,0.1731
50164,110.3,0.1731
50170,110.3,0.1731
50176,110.3,0.1731
50182,110.3,0.1731
50188,110.3,0.1731
50194,110.3,0.1731
50200,110.3,0.1731
50206,110.3,0.1731
50212,110.3,0.1731
50218,110.3,0.1731
50224,110.3,0.1731
50230,110.3,0.1731
50236,110.3,0.1731
50242,110.3,0.1731
50248,110.3,0.1731
50254,110.3,0.1731
50260,110.3,0.1731
50266,110.3,0.1731
50272,110.3,0.1731
50278,110.3,0.1731
50284,110.3,0.1731
50290,110.3,0.1731
50296,110.3,0.1731
50302,110.3,0.1731
50308,110.3,0.1731
50314,110.3,0.1731
50320,110.3,0.1731
50326,110.3,0.1731
50332,110.3,0.1731
50338,110.3,0.1731
50344,110.3,0.1731
50350,110.3,0.1731
50356,110.3,0.1731
50362,110.3,0.1731
50368,110.3,0.1731
50374,110.3,0.1731
50380,110.3,0.1731
50386,110.3,0.1731
50392,110.3,0.1731
50398,110.3,0.1731
50404,110.3,0.1731
50410,110.3,0.1731
50416,110.3,0.1731
50422,110.3,0.1731
50428,110.3,0.1731
50434,110.3,0.1731
50440,110.3,0.1731
50446,110.3,0.1731
50452,110.3,0.1731
50458,110.3,0.1731
50464,110.3,0.1731
50470,110.3,0.1731
50476,110.3,0.1731
50482,110.3,0.1731
50488,110.3,0.1731
50494,110.3,0.1731
50500,110.3,0.1731
50506,110.3,0.1731
50512,110.3,0.1731
50518,110.3,0.1731
50524,110.3,0.1731
50530,110.3,0.1731
50536,110.3,0.1731
50542,110.3,0.1731
50548,110.3,0.1731
50553,110.3,0.1731
50559,110.3,0.1731
50565,110.3,0.1731
50571,110.3,0.1731
50577,110.3,0.1731
50583,110.3,0.1731
50589,110.3,0.1731
50595,110.3,0.1731
50601,110.3,0.1731
50607,110.3,0.1731
50613,110.3,0.1731
50619,110.3,0.1731
50625,110.3,0.1731
50631,110.3,0.1731
50637,110.3,0.1731
50643,110.3,0.1731
50649,110.3,0.1731
50655,110.3,0.1731
50661,110.3,0.1731
50667,110.3,0.1731
50673,110.3,0.1731
50679,110.3,0.1731
50685,110.3,0.1731
50691,110.3,0.1731
50697,110.3,0.1731
50703,110.3,0.1731
50709,110.3,0.1731
50715,110.3,0.1731
50721,110.3,0.1731
50727,110.3,0.1731
50733,110.3,0.1731
50739,110.3,0.1731
50745,110.3,0.1731
50751,110.3,0.1731
50757,110.3,0.1731
50763,110.3,0.1731
50769,110.3,0.1731
50775,110.3,0.1731
50780,110.3,0.1731
50786,110.3,0.1731
50792,110.3,0.1731
50798,110.3,0.1731
50804,110.3,0.1731
50810,110.3,0.1731
50816,110.3,0.1731
50822,110.3,0.1731
50828,110.3,0.1731
50834,110.3,0.1731
50840,110.3,0.1731
50846,110.3,0.1731
50852,110.3,0.1731
50858,110.3,0.1731
50864,110.3,0.1731
50870,110.3,0.1731
50875,110.3,0.1731
50881,110.3,0.1731
50887,110.3,0.1731
50893,110.3,0.1731
50899,110.3,0.1731
50905,110.3,0.1731
50911,110.3,0.1731
50916,110.3,0.1731
50922,110.3,0.1731
50928,110.3,0.1731
50934,110.3,0.1731
50940,110.3,0.1731
50946,110.3,0.1731
50952,110.3,0.1731
50958,110.3,0.1731
50964,110.3,0.1731
50970,110.3,0.1731
50976,110.3,0.1731
50982,110.3,0.1731
50988,110.3,0.1731
50994,110.3,0.1731
59997,120.7,0.1936
60003,120.7,0.1936
60008,120.7,0.1936
60014,120.7,0.1936
60020,120.7,0.1936
60026,120.7,0.1936
60031,120.7,0.1936
60036,120.7,0.1936
60041,120.7,0.1936
60046,120.7,0.1936
60052,120.7,0.1936
60058,120.7,0.1936
60063,120.7,0.1936
60069,120.7,0.1936
60075,120.7,0.1936
60081,120.7,0.1936
60087,120.7,0.1936
60093,120.7,0.1936
60098,120.7,0.1936
60103,120.7,0.1936
60109,120.7,0.1936
60114,120.7,0.1936
60120,120.7,0.1936
60126,120.7,0.1936
60132,120.7,0.1936
60137,120.7,0.1936
60142,120.7,0.1936
60148,120.7,0.1936
60153,120.7,0.1936
60158,120.7,0.1936
60164,120.7,0.1936
60170,120.7,0.1936
60176,120.7,0.1936
60182,120.7,0.1936
60188,120.7,0.1936
60194,120.7,0.1936
60200,120.7,0.1936
60206,120.7,0.1936
60212,120.7,0.1936
60218,120.7,0.1936
60224,120.7,0.1936
60230,120.7,0.1936
60236,120.7,0.1936
60242,120.7,0.1936
60248,120.7,0.1936
60254,120.7,0.1936
60260,120.7,0.1936
60266,120.7,0.1936
60272,120.7,0.1936
60278,120.7,0.1936
60284,120.7,0.1936
60290,120.7,0.1936
60296,120.7,0.1936
60302,120.7,0.1936
60307,120.7,0.1936
60313,120.7,0.1936
60319,120.7,0.1936
60325,120.7,0.1936
60331,120.7,0.1936
60337,120.7,0.1936
60343,120.7,0.1936
60349,120.7,0.1936
60355,120.7,0.1936
60360,120.7,0.1936
60366,120.7,0.1936
60372,120.7,0.1936
60378,120.7,0.1936
60383,120.7,0.1936
60389,120.7,0.1936
60395,120.7,0.1936
60401,120.7,0.1936
60407,120.7,0.1936
60413,120.7,0.1936
60419,120.7,0.1936
60425,120.7,0.1936
60431,120.7,0.1936
60437,120.7,0.1936
60443,120.7,0.1936
