Step,Reward,F1
20905,351.9,0.0595
20912,351.9,0.0595
20919,351.9,0.0595
20926,351.9,0.0595
20933,351.9,0.0595
20940,351.9,0.0595
20947,351.9,0.0595
20954,351.9,0.0595
20961,351.9,0.0595
20968,351.9,0.0595
20975,351.9,0.0595
20982,351.9,0.0595
20989,351.9,0.0595
20996,351.9,0.0595
29994,360.3,0.0992
30001,360.3,0.0992
30008,360.3,0.0992
30015,360.3,0.0992
30021,360.3,0.0992
30027,360.3,0.0992
30033,360.3,0.0992
30040,360.3,0.0992
30047,360.3,0.0992
30054,360.3,0.0992
30060,360.3,0.0992
30067,360.3,0.0992
30074,360.3,0.0992
30081,360.3,0.0992
30088,360.3,0.0992
30094,360.3,0.0992
30101,360.3,0.0992
30108,360.3,0.0992
30114,360.3,0.0992
30120,360.3,0.0992
30126,360.3,0.0992
30132,360.3,0.0992
30138,360.3,0.0992
30144,360.3,0.0992
30150,360.3,0.0992
30156,360.3,0.0992
30163,360.3,0.0992
30170,360.3,0.0992
30177,360.3,0.0992
30184,360.3,0.0992
30190,360.3,0.0992
30197,360.3,0.0992
30204,360.3,0.0992
30211,360.3,0.0992
30217,360.3,0.0992
30224,360.3,0.0992
30230,360.3,0.0992
30237,360.3,0.0992
30244,360.3,0.0992
30251,360.3,0.0992
30258,360.3,0.0992
30265,360.3,0.0992
30272,360.3,0.0992
30279,360.3,0.0992
30285,360.3,0.0992
30292,360.3,0.0992
30298,360.3,0.0992
30304,360.3,0.0992
30311,360.3,0.0992
30317,360.3,0.0992
30324,360.3,0.0992
30331,360.3,0.0992
30337,360.3,0.0992
30343,360.3,0.0992
30349,360.3,0.0992
30356,360.3,0.0992
30363,360.3,0.0992
30369,360.3,0.0992
30375,360.3,0.0992
30382,360.3,0.0992
30388,360.3,0.0992
30395,360.3,0.0992
30402,360.3,0.0992
30409,360.3,0.0992
30416,360.3,0.0992
30423,360.3,0.0992
30430,360.3,0.0992
30437,360.3,0.0992
30444,360.3,0.0992
30451,360.3,0.0992
30458,360.3,0.0992
30465,360.3,0.0992
30472,360.3,0.0992
30479,360.3,0.0992
30486,360.3,0.0992
30493,360.3,0.0992
30500,360.3,0.0992
30506,360.3,0.0992
30513,360.3,0.0992
30519,360.3,0.0992
30526,360.3,0.0992
30532,360.3,0.0992
30539,360.3,0.0992
30546,360.3,0.0992
30553,360.3,0.0992
30560,360.3,0.0992
30567,360.3,0.0992
30574,360.3,0.0992
30581,360.3,0.0992
30588,360.3,0.0992
30595,360.3,0.0992
30602,360.3,0.0992
30608,360.3,0.0992
30614,360.3,0.0992
30620,360.3,0.0992
30626,360.3,0.0992
30632,360.3,0.0992
30639,360.3,0.0992
30646,360.3,0.0992
30653,360.3,0.0992
30659,360.3,0.0992
30665,360.3,0.0992
30671,360.3,0.0992
30678,360.3,0.0992
30684,360.3,0.0992
30690,360.3,0.0992
30697,360.3,0.0992
30704,360.3,0.0992
30710,360.3,0.0992
30716,360.3,0.0992
30723,360.3,0.0992
30730,360.3,0.0992
30737,360.3,0.0992
30744,360.3,0.0992
30751,360.3,0.0992
30758,360.3,0.0992
30765,360.3,0.0992
30772,360.3,0.0992
30779,360.3,0.0992
30786,360.3,0.0992
30793,360.3,0.0992
30800,360.3,0.0992
30807,360.3,0.0992
30814,360.3,0.0992
30820,360.3,0.0992
30826,360.3,0.0992
30833,360.3,0.0992
30840,360.3,0.0992
30846,360.3,0.0992
30852,360.3,0.0992
30858,360.3,0.0992
30864,360.3,0.0992
30871,360.3,0.0992
30877,360.3,0.0992
30883,360.3,0.0992
30890,360.3,0.0992
30897,360.3,0.0992
30904,360.3,0.0992
30911,360.3,0.0992
30917,360.3,0.0992
30923,360.3,0.0992
30929,360.3,0.0992
30935,360.3,0.0992
30942,360.3,0.0992
30949,360.3,0.0992
30956,360.3,0.0992
30963,360.3,0.0992
30970,360.3,0.0992
30976,360.3,0.0992
30983,360.3,0.0992
30990,360.3,0.0992
30997,360.3,0.0992
39994,398.6,0.0729
40000,398.6,0.0729
40006,398.6,0.0729
40012,398.6,0.0729
40019,398.6,0.0729
40026,398.6,0.0729
40032,398.6,0.0729
40038,398.6,0.0729
40045,398.6,0.0729
40051,398.6,0.0729
40058,398.6,0.0729
40064,398.6,0.0729
40070,398.6,0.0729
40076,398.6,0.0729
40082,398.6,0.0729
40088,398.6,0.0729
40094,398.6,0.0729
40100,398.6,0.0729
40106,398.6,0.0729
40112,398.6,0.0729
40118,398.6,0.0729
40124,398.6,0.0729
40130,398.6,0.0729
40136,398.6,0.0729
40142,398.6,0.0729
40148,398.6,0.0729
40155,398.6,0.0729
40162,398.6,0.0729
40168,398.6,0.0729
40175,398.6,0.0729
40181,398.6,0.0729
40188,398.6,0.0729
40194,398.6,0.0729
40200,398.6,0.0729
40206,398.6,0.0729
40213,398.6,0.0729
40220,398.6,0.0729
40227,398.6,0.0729
40234,398.6,0.0729
40241,398.6,0.0729
40248,398.6,0.0729
40255,398.6,0.0729
40262,398.6,0.0729
40269,398.6,0.0729
40276,398.6,0.0729
40283,398.6,0.0729
40290,398.6,0.0729
40296,398.6,0.0729
40302,398.6,0.0729
40308,398.6,0.0729
40314,398.6,0.0729
40320,398.6,0.0729
40327,398.6,0.0729
40334,398.6,0.0729
40340,398.6,0.0729
40346,398.6,0.0729
40352,398.6,0.0729
40358,398.6,0.0729
40364,398.6,0.0729
40370,398.6,0.0729
40377,398.6,0.0729
40384,398.6,0.0729
40391,398.6,0.0729
40398,398.6,0.0729
40405,398.6,0.0729
40412,398.6,0.0729
40419,398.6,0.0729
40426,398.6,0.0729
40433,398.6,0.0729
40440,398.6,0.0729
40447,398.6,0.0729
40454,398.6,0.0729
40461,398.6,0.0729
40468,398.6,0.0729
40475,398.6,0.0729
40481,398.6,0.0729
40488,398.6,0.0729
40495,398.6,0.0729
40502,398.6,0.0729
40509,398.6,0.0729
40515,398.6,0.0729
40522,398.6,0.0729
40529,398.6,0.0729
40536,398.6,0.0729
40543,398.6,0.0729
40550,398.6,0.0729
40557,398.6,0.0729
40563,398.6,0.0729
40569,398.6,0.0729
40576,398.6,0.0729
40583,398.6,0.0729
40590,398.6,0.0729
40597,398.6,0.0729
40604,398.6,0.0729
40611,398.6,0.0729
40617,398.6,0.0729
40623,398.6,0.0729
40630,398.6,0.0729
40637,398.6,0.0729
40643,398.6,0.0729
40650,398.6,0.0729
40657,398.6,0.0729
40664,398.6,0.0729
40671,398.6,0.0729
40678,398.6,0.0729
40685,398.6,0.0729
40692,398.6,0.0729
40699,398.6,0.0729
40706,398.6,0.0729
40713,398.6,0.0729
40719,398.6,0.0729
40726,398.6,0.0729
40733,398.6,0.0729
40740,398.6,0.0729
40747,398.6,0.0729
40754,398.6,0.0729
40761,398.6,0.0729
40768,398.6,0.0729
40774,398.6,0.0729
40781,398.6,0.0729
40788,398.6,0.0729
40795,398.6,0.0729
40802,398.6,0.0729
40808,398.6,0.0729
40815,398.6,0.0729
40821,398.6,0.0729
40828,398.6,0.0729
40835,398.6,0.0729
40842,398.6,0.0729
40849,398.6,0.0729
40856,398.6,0.0729
40863,398.6,0.0729
40870,398.6,0.0729
40877,398.6,0.0729
40884,398.6,0.0729
40891,398.6,0.0729
40898,398.6,0.0729
40905,398.6,0.0729
40912,398.6,0.0729
40919,398.6,0.0729
40926,398.6,0.0729
40932,398.6,0.0729
40939,398.6,0.0729
40946,398.6,0.0729
40953,398.6,0.0729
40960,398.6,0.0729
40967,398.6,0.0729
40973,398.6,0.0729
40980,398.6,0.0729
40987,398.6,0.0729
40994,398.6,0.0729
49996,406.2,0.0975
50002,406.2,0.0975
50009,406.2,0.0975
50016,406.2,0.0975
50023,406.2,0.0975
50030,406.2,0.0975
50037,406.2,0.0975
50044,406.2,0.0975
50051,406.2,0.0975
50058,406.2,0.0975
50065,406.2,0.0975
50072,406.2,0.0975
50079,406.2,0.0975
50086,406.2,0.0975
50092,406.2,0.0975
50098,406.2,0.0975
50105,406.2,0.0975
50112,406.2,0.0975
50119,406.2,0.0975
50126,406.2,0.0975
50132,406.2,0.0975
50138,406.2,0.0975
50144,406.2,0.0975
50150,406.2,0.0975
50156,406.2,0.0975
50162,406.2,0.0975
50169,406.2,0.0975
50176,406.2,0.0975
50183,406.2,0.0975
50190,406.2,0.0975
50197,406.2,0.0975
50204,406.2,0.0975
50211,406.2,0.0975
50218,406.2,0.0975
50225,406.2,0.0975
50232,406.2,0.0975
50239,406.2,0.0975
50246,406.2,0.0975
50252,406.2,0.0975
50258,406.2,0.0975
50264,406.2,0.0975
50270,406.2,0.0975
50276,406.2,0.0975
50283,406.2,0.0975
50289,406.2,0.0975
50295,406.2,0.0975
50302,406.2,0.0975
50309,406.2,0.0975
50315,406.2,0.0975
50322,406.2,0.0975
50329,406.2,0.0975
50336,406.2,0.0975
50343,406.2,0.0975
50350,406.2,0.0975
50357,406.2,0.0975
50364,406.2,0.0975
50371,406.2,0.0975
50378,406.2,0.0975
50385,406.2,0.0975
50392,406.2,0.0975
50399,406.2,0.0975
50406,406.2,0.0975
50412,406.2,0.0975
50418,406.2,0.0975
50425,406.2,0.0975
50431,406.2,0.0975
50437,406.2,0.0975
50444,406.2,0.0975
50450,406.2,0.0975
50456,406.2,0.0975
50462,406.2,0.0975
50469,406.2,0.0975
50476,406.2,0.0975
50483,406.2,0.0975
50490,406.2,0.0975
50497,406.2,0.0975
50504,406.2,0.0975
50511,406.2,0.0975
50517,406.2,0.0975
50524,406.2,0.0975
50531,406.2,0.0975
50538,406.2,0.0975
50545,406.2,0.0975
50552,406.2,0.0975
50559,406.2,0.0975
50566,406.2,0.0975
50572,406.2,0.0975
50578,406.2,0.0975
50585,406.2,0.0975
50592,406.2,0.0975
50598,406.2,0.0975
50604,406.2,0.0975
50610,406.2,0.0975
50616,406.2,0.0975
50622,406.2,0.0975
50628,406.2,0.0975
50634,406.2,0.0975
50640,406.2,0.0975
50646,406.2,0.0975
50652,406.2,0.0975
50658,406.2,0.0975
50664,406.2,0.0975
50670,406.2,0.0975
50677,406.2,0.0975
50683,406.2,0.0975
50690,406.2,0.0975
50696,406.2,0.0975
50702,406.2,0.0975
50708,406.2,0.0975
50715,406.2,0.0975
50721,406.2,0.0975
50727,406.2,0.0975
50733,406.2,0.0975
50740,406.2,0.0975
50747,406.2,0.0975
50754,406.2,0.0975
50761,406.2,0.0975
50767,406.2,0.0975
50773,406.2,0.0975
50779,406.2,0.0975
50785,406.2,0.0975
50791,406.2,0.0975
50797,406.2,0.0975
50804,406.2,0.0975
50811,406.2,0.0975
50818,406.2,0.0975
50825,406.2,0.0975
50831,406.2,0.0975
50837,406.2,0.0975
50843,406.2,0.0975
50849,406.2,0.0975
50855,406.2,0.0975
50861,406.2,0.0975
50868,406.2,0.0975
50875,406.2,0.0975
50882,406.2,0.0975
50889,406.2,0.0975
50895,406.2,0.0975
50901,406.2,0.0975
50907,406.2,0.0975
50913,406.2,0.0975
50920,406.2,0.0975
50926,406.2,0.0975
50932,406.2,0.0975
50938,406.2,0.0975
50944,406.2,0.0975
50951,406.2,0.0975
50958,406.2,0.0975
50964,406.2,0.0975
50970,406.2,0.0975
50977,406.2,0.0975
50983,406.2,0.0975
50989,406.2,0.0975
50996,406.2,0.0975
59998,418.0,0.1872
60004,418.0,0.1872
60011,418.0,0.1872
60018,418.0,0.1872
60025,418.0,0.1872
60032,418.0,0.1872
60039,418.0,0.1872
60045,418.0,0.1872
60052,418.0,0.1872
60059,418.0,0.1872
60065,418.0,0.1872
60072,418.0,0.1872
60079,418.0,0.1872
60086,418.0,0.1872
60093,418.0,0.1872
60099,418.0,0.1872
60106,418.0,0.1872
60113,418.0,0.1872
60120,418.0,0.1872
60127,418.0,0.1872
60134,418.0,0.1872
60141,418.0,0.1872
60148,418.0,0.1872
60155,418.0,0.1872
60161,418.0,0.1872
60167,418.0,0.1872
60173,418.0,0.1872
60179,418.0,0.1872
60186,418.0,0.1872
60193,418.0,0.1872
60199,418.0,0.1872
60205,418.0,0.1872
60211,418.0,0.1872
60218,418.0,0.1872
60225,418.0,0.1872
60231,418.0,0.1872
60237,418.0,0.1872
60244,418.0,0.1872
60251,418.0,0.1872
60257,418.0,0.1872
60264,418.0,0.1872
60271,418.0,0.1872
60278,418.0,0.1872
60285,418.0,0.1872
60292,418.0,0.1872
60299,418.0,0.1872
60306,418.0,0.1872
60313,418.0,0.1872
60320,418.0,0.1872
60327,418.0,0.1872
60334,418.0,0.1872
60341,418.0,0.1872
60348,418.0,0.1872
60354,418.0,0.1872
60360,418.0,0.1872
60366,418.0,0.1872
60372,418.0,0.1872
60378,418.0,0.1872
60385,418.0,0.1872
60392,418.0,0.1872
60399,418.0,0.1872
60405,418.0,0.1872
60412,418.0,0.1872
60419,418.0,0.1872
60426,418.0,0.1872
60433,418.0,0.1872
60440,418.0,0.1872
60447,418.0,0.1872
60454,418.0,0.1872
60461,418.0,0.1872
60468,418.0,0.1872
60475,418.0,0.1872
60482,418.0,0.1872
60489,418.0,0.1872
60496,418.0,0.1872
60503,418.0,0.1872
60510,418.0,0.1872
60517,418.0,0.1872
60523,418.0,0.1872
60529,418.0,0.1872
60536,418.0,0.1872
60542,418.0,0.1872
60548,418.0,0.1872
60554,418.0,0.1872
60561,418.0,0.1872
60567,418.0,0.1872
60574,418.0,0.1872
60581,418.0,0.1872
60588,418.0,0.1872
60595,418.0,0.1872
60602,418.0,0.1872
60609,418.0,0.1872
60616,418.0,0.1872
60623,418.0,0.1872
60629,418.0,0.1872
60636,418.0,0.1872
60643,418.0,0.1872
60650,418.0,0.1872
60657,418.0,0.1872
60664,418.0,0.1872
60671,418.0,0.1872
60678,418.0,0.1872
60684,418.0,0.1872
60690,418.0,0.1872
60697,418.0,0.1872
60704,418.0,0.1872
60711,418.0,0.1872
60717,418.0,0.1872
60723,418.0,0.1872
60729,418.0,0.1872
60735,418.0,0.1872
60741,418.0,0.1872
60748,418.0,0.1872
60755,418.0,0.1872
60762,418.0,0.1872
60769,418.0,0.1872
60776,418.0,0.1872
60783,418.0,0.1872
60790,418.0,0.1872
60797,418.0,0.1872
60804,418.0,0.1872
60811,418.0,0.1872
60818,418.0,0.1872
60825,418.0,0.1872
60832,418.0,0.1872
60838,418.0,0.1872
60844,418.0,0.1872
60851,418.0,0.1872
60858,418.0,0.1872
60865,418.0,0.1872
60872,418.0,0.1872
60879,418.0,0.1872
60885,418.0,0.1872
60891,418.0,0.1872
60898,418.0,0.1872
60905,418.0,0.1872
60912,418.0,0.1872
60919,418.0,0.1872
60926,418.0,0.1872
60933,418.0,0.1872
60940,418.0,0.1872
60946,418.0,0.1872
60953,418.0,0.1872
60960,418.0,0.1872
60967,418.0,0.1872
60974,418.0,0.1872
60981,418.0,0.1872
60988,418.0,0.1872
60994,418.0,0.1872
69996,423.3,0.1519
70001,423.3,0.1519
70008,423.3,0.1519
70015,423.3,0.1519
70022,423.3,0.1519
70029,423.3,0.1519
70036,423.3,0.1519
70043,423.3,0.1519
70050,423.3,0.1519
70057,423.3,0.1519
70064,423.3,0.1519
70071,423.3,0.1519
70078,423.3,0.1519
70085,423.3,0.1519
70092,423.3,0.1519
70099,423.3,0.1519
70106,423.3,0.1519
70113,423.3,0.1519
70120,423.3,0.1519
70127,423.3,0.1519
70134,423.3,0.1519
70141,423.3,0.1519
70148,423.3,0.1519
70155,423.3,0.1519
70162,423.3,0.1519
70169,423.3,0.1519
70176,423.3,0.1519
70183,423.3,0.1519
70190,423.3,0.1519
70197,423.3,0.1519
70204,423.3,0.1519
70211,423.3,0.1519
70218,423.3,0.1519
70224,423.3,0.1519
70231,423.3,0.1519
70238,423.3,0.1519
70245,423.3,0.1519
70252,423.3,0.1519
70259,423.3,0.1519
70266,423.3,0.1519
70273,423.3,0.1519
70280,423.3,0.1519
70287,423.3,0.1519
70294,423.3,0.1519
70301,423.3,0.1519
70308,423.3,0.1519
70315,423.3,0.1519
70322,423.3,0.1519
70329,423.3,0.1519
70336,423.3,0.1519
70343,423.3,0.1519
70350,423.3,0.1519
70357,423.3,0.1519
70364,423.3,0.1519
70371,423.3,0.1519
70378,423.3,0.1519
70385,423.3,0.1519
70392,423.3,0.1519
70399,423.3,0.1519
70406,423.3,0.1519
70413,423.3,0.1519
70420,423.3,0.1519
70427,423.3,0.1519
70434,423.3,0.1519
70441,423.3,0.1519
70448,423.3,0.1519
70455,423.3,0.1519
70462,423.3,0.1519
70469,423.3,0.1519
70476,423.3,0.1519
70483,423.3,0.1519
70490,423.3,0.1519
70496,423.3,0.1519
